Date,Code,Name,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjusted Price,12m Low_num,12m High_num,Day Low_num,Day High_num,Day Price_num,Previous_num,Change_num,Change%_num,Volume_num,Adjusted Price_num
2024-02-12,EGAD,Eaagads Ltd,10.35,14.50,13.00,13.00,13.00,12.50,0.5,4.00%,500.00,-,10.35,14.5,13.0,13.0,13.0,12.5,0.5,4.0,500.0,
2024-02-12,KUKZ,Kakuzi Plc,342.00,440.00,385.00,385.00,385.00,385.00,-,-,-,-,342.0,440.0,385.0,385.0,385.0,385.0,,,,
2024-02-12,KAPC,Kapchorua Tea Kenya Plc,207.00,280.00,234.00,234.00,234.00,233.00,1,0.43%,100.00,-,207.0,280.0,234.0,234.0,234.0,233.0,1.0,0.43,100.0,
2024-02-12,LIMT,Limuru Tea Plc,365.00,380.00,380.00,380.00,380.00,380.00,-,-,-,-,365.0,380.0,380.0,380.0,380.0,380.0,,,,
2024-02-12,SASN,Sasini Plc,15.10,22.00,20.00,22.00,20.70,20.00,0.7,3.50%,"1,400.00",-,15.1,22.0,20.0,22.0,20.7,20.0,0.7,3.5,1400.0,
2024-02-12,WTK,Williamson Tea Kenya Plc,193.50,290.00,230.00,230.00,230.00,232.50,-2.5,1.08%,"1,100.00",-,193.5,290.0,230.0,230.0,230.0,232.5,-2.5,1.08,1100.0,
2024-02-12,CGEN,Car and General (K) Ltd,17.95,31.80,27.00,27.00,27.00,27.00,-,-,-,-,17.95,31.8,27.0,27.0,27.0,27.0,,,,
2024-02-12,ABSA,ABSA Bank Kenya Plc,10.55,16.70,12.00,12.10,12.00,12.05,-0.05,0.41%,"69,900.00",-,10.55,16.7,12.0,12.1,12.0,12.05,-0.05,0.41,69900.0,
2024-02-12,BKG,BK Group Plc,30.00,37.00,35.50,35.50,35.50,35.50,-,-,-,-,30.0,37.0,35.5,35.5,35.5,35.5,,,,
2024-02-12,COOP,Co-operative Bank of Kenya Ltd,10.10,15.20,12.05,12.50,12.25,12.20,0.05,0.41%,"82,300.00",-,10.1,15.2,12.05,12.5,12.25,12.2,0.05,0.41,82300.0,
2024-02-12,DTK,Diamond Trust Bank Kenya Ltd,43.05,56.00,48.00,48.00,48.00,48.80,-0.8,1.64%,400.00,-,43.05,56.0,48.0,48.0,48.0,48.8,-0.8,1.64,400.0,
2024-02-12,EQTY,Equity Group Holdings Plc,33.60,51.00,37.20,38.00,37.50,37.45,0.05,0.13%,"18,900.00",-,33.6,51.0,37.2,38.0,37.5,37.45,0.05,0.13,18900.0,
2024-02-12,HFCK,HF Group Ltd,3.02,4.90,3.60,3.85,3.80,3.79,0.01,0.26%,"97,400.00",-,3.02,4.9,3.6,3.85,3.8,3.79,0.01,0.26,97400.0,
2024-02-12,IMH,I & M Holdings Plc,17.00,35.00,17.35,17.40,17.40,17.40,-,-,"33,900.00",-,17.0,35.0,17.35,17.4,17.4,17.4,,,33900.0,
2024-02-12,KCB,KCB Group Plc,15.75,40.00,18.80,19.50,19.20,19.95,-0.75,3.76%,"265,500.00",-,15.75,40.0,18.8,19.5,19.2,19.95,-0.75,3.76,265500.0,
2024-02-12,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,-,-,-,-,4.12,4.12,4.12,4.12,4.12,4.12,,,,
2024-02-12,NCBA,NCBA Group Plc,34.05,47.00,37.00,38.90,37.25,37.60,-0.35,0.93%,"11,700.00",-,34.05,47.0,37.0,38.9,37.25,37.6,-0.35,0.93,11700.0,
2024-02-12,SBIC,Stanbic Holdings Plc,100.00,134.00,113.00,115.00,113.50,115.00,-1.5,1.30%,500.00,-,100.0,134.0,113.0,115.0,113.5,115.0,-1.5,1.3,500.0,
